StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
19,Iowa,2006,99%,,540,,Concentration: (not-detected)
19,Iowa,2007,2%,,4,,Concentration: (0-<=5)
19,Iowa,2007,0%,,0,,Concentration: (>5)
19,Iowa,2007,98%,,157,,Concentration: (not-detected)
19,Iowa,2008,4%,,5,,Concentration: (0-<=5)
19,Iowa,2008,0%,,0,,Concentration: (>5)
19,Iowa,2008,96%,,124,,Concentration: (not-detected)
19,Iowa,2009,2%,,3,,Concentration: (0-<=5)
19,Iowa,2009,0%,,0,,Concentration: (>5)
19,Iowa,2009,98%,,128,,Concentration: (not-detected)
19,Iowa,2010,6%,,5,,Concentration: (0-<=5)
19,Iowa,2010,1%,,1,,Concentration: (>5)
19,Iowa,2010,92%,,72,,Concentration: (not-detected)
19,Iowa,2011,3%,,3,,Concentration: (0-<=5)
19,Iowa,2011,1%,,1,,Concentration: (>5)
19,Iowa,2011,97%,,114,,Concentration: (not-detected)
19,Iowa,2012,0%,,2,,Concentration: (0-<=5)
19,Iowa,2012,0%,,0,,Concentration: (>5)
19,Iowa,2012,100%,,485,,Concentration: (not-detected)
19,Iowa,2013,4%,,7,,Concentration: (0-<=5)
19,Iowa,2013,0%,,0,,Concentration: (>5)
19,Iowa,2013,96%,,155,,Concentration: (not-detected)
19,Iowa,2014,5%,,6,,Concentration: (0-<=5)
19,Iowa,2014,0%,,0,,Concentration: (>5)
19,Iowa,2014,95%,,109,,Concentration: (not-detected)
19,Iowa,2015,4%,,5,,Concentration: (0-<=5)
19,Iowa,2015,0%,,0,,Concentration: (>5)
19,Iowa,2015,96%,,119,,Concentration: (not-detected)
19,Iowa,2016,8%,,6,,Concentration: (0-<=5)
19,Iowa,2016,0%,,0,,Concentration: (>5)
19,Iowa,2016,92%,,71,,Concentration: (not-detected)
19,Iowa,2017,4%,,4,,Concentration: (0-<=5)
19,Iowa,2017,0%,,0,,Concentration: (>5)
19,Iowa,2017,96%,,107,,Concentration: (not-detected)
19,Iowa,2018,1%,,3,,Concentration: (0-<=5)
19,Iowa,2018,0%,,0,,Concentration: (>5)
19,Iowa,2018,99%,,458,,Concentration: (not-detected)
19,Iowa,2019,1%,,1,,Concentration: (0-<=5)
19,Iowa,2019,0%,,0,,Concentration: (>5)
19,Iowa,2019,99%,,135,,Concentration: (not-detected)
19,Iowa,2020,3%,,3,,Concentration: (0-<=5)
19,Iowa,2020,0%,,0,,Concentration: (>5)
19,Iowa,2020,97%,,110,,Concentration: (not-detected)
19,Iowa,2021,1%,,1,,Concentration: (0-<=5)
19,Iowa,2021,0%,,0,,Concentration: (>5)
19,Iowa,2021,99%,,108,,Concentration: (not-detected)
19,Iowa,2022,0%,,0,,Concentration: (0-<=5)
19,Iowa,2022,0%,,0,,Concentration: (>5)
19,Iowa,2022,100%,,75,,Concentration: (not-detected)
19,Iowa,2023,1%,,1,,Concentration: (0-<=5)
19,Iowa,2023,1%,,1,,Concentration: (>5)
